p:(0.871585,0.202589),h:2,n:5,cr:1.01391;
p:(0.871585,0.202589),h:1,n:13,cr:0.371717;
p:(0.100536,0.00202372),h:1,n:10,cr:0.332335;
p:(0.818589,0.623735),h:1,n:17,cr:0.373089;
p:(0.559322,0.6988),h:1,n:13,cr:0.520789;
p:(0.470688,0.936685),h:1,n:11,cr:0.468357;
p:(0.871585,0.202589),h:0,n:0,cr:0;
p:(0.924144,0.0948819),h:0,n:0,cr:0;
p:(0.83718,0.22),h:0,n:0,cr:0;
p:(0.799324,0.26781),h:0,n:0,cr:0;
p:(0.851594,0.323432),h:0,n:0,cr:0;
p:(0.813895,0.17003),h:0,n:0,cr:0;
p:(0.824411,0.110832),h:0,n:0,cr:0;
p:(0.778058,0.259843),h:0,n:0,cr:0;
p:(0.628244,0.167222),h:0,n:0,cr:0;
p:(0.543613,0.0276387),h:0,n:0,cr:0;
p:(0.652562,0.204996),h:0,n:0,cr:0;
p:(0.586558,0.221782),h:0,n:0,cr:0;
p:(0.721754,0.356929),h:0,n:0,cr:0;
p:(0.100536,0.00202372),h:0,n:0,cr:0;
p:(0.184746,0.0194232),h:0,n:0,cr:0;
p:(0.223806,0.291134),h:0,n:0,cr:0;
p:(0.348637,0.0215821),h:0,n:0,cr:0;
p:(0.431342,0.0338608),h:0,n:0,cr:0;
p:(0.404828,0.0291904),h:0,n:0,cr:0;
p:(0.0429879,0.00879557),h:0,n:0,cr:0;
p:(0.000791314,0.0148475),h:0,n:0,cr:0;
p:(0.0630512,0.134801),h:0,n:0,cr:0;
p:(0.0352537,0.138267),h:0,n:0,cr:0;
p:(0.818589,0.623735),h:0,n:0,cr:0;
p:(0.810055,0.560459),h:0,n:0,cr:0;
p:(0.95949,0.573348),h:0,n:0,cr:0;
p:(0.940176,0.698742),h:0,n:0,cr:0;
p:(0.820494,0.560428),h:0,n:0,cr:0;
p:(0.793682,0.580861),h:0,n:0,cr:0;
p:(0.800861,0.66058),h:0,n:0,cr:0;
p:(0.751094,0.701887),h:0,n:0,cr:0;
p:(0.68036,0.587735),h:0,n:0,cr:0;
p:(0.870713,0.832665),h:0,n:0,cr:0;
p:(0.89209,0.925629),h:0,n:0,cr:0;
p:(0.958172,0.969729),h:0,n:0,cr:0;
p:(0.921887,0.744248),h:0,n:0,cr:0;
p:(0.724197,0.790951),h:0,n:0,cr:0;
p:(0.740569,0.850765),h:0,n:0,cr:0;
p:(0.666634,0.44829),h:0,n:0,cr:0;
p:(0.701824,0.43062),h:0,n:0,cr:0;
p:(0.559322,0.6988),h:0,n:0,cr:0;
p:(0.502889,0.630862),h:0,n:0,cr:0;
p:(0.531335,0.715878),h:0,n:0,cr:0;
p:(0.464839,0.702615),h:0,n:0,cr:0;
p:(0.627945,0.76496),h:0,n:0,cr:0;
p:(0.638572,0.687094),h:0,n:0,cr:0;
p:(0.620252,0.776762),h:0,n:0,cr:0;
p:(0.378642,0.446535),h:0,n:0,cr:0;
p:(0.396114,0.483466),h:0,n:0,cr:0;
p:(0.170405,0.352442),h:0,n:0,cr:0;
p:(0.546607,0.42505),h:0,n:0,cr:0;
p:(0.475503,0.413957),h:0,n:0,cr:0;
p:(0.270051,0.652245),h:0,n:0,cr:0;
p:(0.470688,0.936685),h:0,n:0,cr:0;
p:(0.388694,0.925249),h:0,n:0,cr:0;
p:(0.593463,0.998894),h:0,n:0,cr:0;
p:(0.445467,0.813476),h:0,n:0,cr:0;
p:(0.283208,0.83617),h:0,n:0,cr:0;
p:(0.10446,0.6998),h:0,n:0,cr:0;
p:(0.0952795,0.742298),h:0,n:0,cr:0;
p:(0.219135,0.722748),h:0,n:0,cr:0;
p:(0.157691,0.588273),h:0,n:0,cr:0;
p:(0.345483,0.985848),h:0,n:0,cr:0;
p:(0.223297,0.982157),h:0,n:0,cr:0;
