p:(0.460652,0.471639),h:3,n:3,cr:0.744007;
p:(0.460652,0.471639),h:2,n:72,cr:0.702392;
p:(0.635712,0.717297),h:2,n:39,cr:0.660961;
p:(0.15123,0.072545),h:2,n:56,cr:0.934451;
p:(0.460652,0.471639),h:1,n:62,cr:0.08015;
p:(0.456514,0.434398),h:1,n:36,cr:0.0775922;
p:(0.344943,0.598481),h:1,n:55,cr:0.0893538;
p:(0.359095,0.552485),h:1,n:42,cr:0.0664624;
p:(0.393746,0.496431),h:1,n:42,cr:0.0726747;
p:(0.364784,0.513401),h:1,n:53,cr:0.117535;
p:(0.609106,0.627158),h:1,n:68,cr:0.0710635;
p:(0.356383,0.99797),h:1,n:36,cr:0.0826875;
p:(0.304295,0.992228),h:1,n:39,cr:0.0875767;
p:(0.618925,0.596196),h:1,n:59,cr:0.0985307;
p:(0.641081,0.431953),h:1,n:44,cr:0.085941;
p:(0.518515,0.400709),h:1,n:40,cr:0.0602769;
p:(0.833243,0.233892),h:1,n:42,cr:0.0714761;
p:(0.829201,0.330337),h:1,n:39,cr:0.0949127;
p:(0.904782,0.257585),h:1,n:46,cr:0.0908673;
p:(0.719269,0.113281),h:1,n:40,cr:0.0812994;
p:(0.777505,0.00698012),h:1,n:45,cr:0.116984;
p:(0.647522,0.100686),h:1,n:46,cr:0.094695;
p:(0.687387,0.0996401),h:1,n:65,cr:0.0902147;
p:(0.437638,0.931835),h:1,n:41,cr:0.0660849;
p:(0.440105,0.880075),h:1,n:38,cr:0.0537817;
p:(0.789244,0.374201),h:1,n:45,cr:0.0549517;
p:(0.889956,0.125468),h:1,n:37,cr:0.0823039;
p:(0.809095,0.131702),h:1,n:48,cr:0.079818;
p:(0.888949,0.0769947),h:1,n:51,cr:0.120664;
p:(0.87054,0.0723288),h:1,n:72,cr:0.1116;
p:(0.911647,0.197551),h:1,n:65,cr:0.0895084;
p:(0.637552,0.524287),h:1,n:37,cr:0.0588627;
p:(0.578635,0.529899),h:1,n:37,cr:0.073855;
p:(0.576691,0.593211),h:1,n:46,cr:0.0647356;
p:(0.471483,0.59254),h:1,n:48,cr:0.0515151;
p:(0.477397,0.628871),h:1,n:55,cr:0.117889;
p:(0.461848,0.648545),h:1,n:38,cr:0.0706094;
p:(0.413984,0.695984),h:1,n:41,cr:0.0635126;
p:(0.228968,0.893372),h:1,n:51,cr:0.107827;
p:(0.515532,0.322451),h:1,n:47,cr:0.0683445;
p:(0.496074,0.334972),h:1,n:42,cr:0.107154;
p:(0.495977,0.291053),h:1,n:40,cr:0.0658158;
p:(0.481936,0.304956),h:1,n:46,cr:0.104516;
p:(0.595045,0.361917),h:1,n:42,cr:0.0945211;
p:(0.94664,0.122326),h:1,n:43,cr:0.0730474;
p:(0.639979,0.354049),h:1,n:48,cr:0.0968931;
p:(0.749771,0.368664),h:1,n:61,cr:0.0944679;
p:(0.526745,0.769914),h:1,n:59,cr:0.104359;
p:(0.512932,0.839112),h:1,n:60,cr:0.0961531;
p:(0.997799,0.0540576),h:1,n:63,cr:0.107186;
p:(0.57943,0.452576),h:1,n:48,cr:0.0752803;
p:(0.556444,0.416501),h:1,n:47,cr:0.0720792;
p:(0.207257,0.994196),h:1,n:39,cr:0.0773891;
p:(0.23828,0.970634),h:1,n:41,cr:0.0594979;
p:(0.666557,0.288778),h:1,n:39,cr:0.0601158;
p:(0.70062,0.316867),h:1,n:53,cr:0.0755359;
